Date,Time,Temp,Precip,Wind
1/1/2021,0:00,-3.7,0,7.9
1/1/2021,1:00,-4.2,0,6.9
1/1/2021,2:00,-4.7,0,7.1
1/1/2021,3:00,-5.2,0,6.1
1/1/2021,4:00,-5.3,0,6.2
1/1/2021,5:00,-5.7,0,9.2
1/1/2021,6:00,-5.9,0,7.3
1/1/2021,7:00,-6.5,0,4.3
1/1/2021,8:00,-7.2,0,4.2
1/1/2021,9:00,-5.3,0,5.2
1/1/2021,10:00,-3.8,0,3.1
1/1/2021,11:00,-2.3,0,4
1/1/2021,12:00,-1.1,0,3.6
1/1/2021,13:00,-0.9,0.01,3
1/1/2021,14:00,-0.2,0,2.9
1/1/2021,15:00,-0.6,0.01,2.4
1/1/2021,16:00,-1.2,0,1.3
1/1/2021,17:00,-2,0,0.7
1/1/2021,18:00,-2.6,0,0.8
1/1/2021,19:00,-2.8,0,1.7
1/1/2021,20:00,-2.6,0,0.8
1/1/2021,21:00,-2.7,0,1.9
1/1/2021,22:00,-2.9,0,2.2
1/1/2021,23:00,-2.8,0,4.6
1/2/2021,0:00,-3.9,0,2
1/2/2021,1:00,-4.2,0,1.3
1/2/2021,2:00,-3.9,0,0.8
1/2/2021,3:00,-3.7,0,2.3
1/2/2021,4:00,-3.4,0,2.7
1/2/2021,5:00,-2.5,0,2.5
1/2/2021,6:00,-2.2,0,2.5
1/2/2021,7:00,-2.1,0,2.3
1/2/2021,8:00,-1.8,0,1.1
1/2/2021,9:00,-1.3,0,0
1/2/2021,10:00,-1,0,0
1/2/2021,11:00,-0.4,0,0
1/2/2021,12:00,0.4,0.01,2.7
1/2/2021,13:00,1.1,0,1.5
1/2/2021,14:00,0.9,0.08,7.2
1/2/2021,15:00,0.3,0.05,8.1
1/2/2021,16:00,-0.4,0.01,5.6
1/2/2021,17:00,-1.3,0,5.2
1/2/2021,18:00,-2.2,0.01,8.7
1/2/2021,19:00,-3.3,0,10.2
1/2/2021,20:00,-3.9,0,7.9
1/2/2021,21:00,-4.4,0,9.6
1/2/2021,22:00,-4.4,0,9.7
1/2/2021,23:00,-4.2,0,8.3
1/3/2021,0:00,-4.1,0,5.9
1/3/2021,1:00,-4.2,0,7.4
1/3/2021,2:00,-4.2,0,10.6
1/3/2021,3:00,-5.1,0,4.4
1/3/2021,4:00,-6,0,2.1
1/3/2021,5:00,-7,0,2.2
1/3/2021,6:00,-7.1,0,1.7
1/3/2021,7:00,-7.3,0,1.8
1/3/2021,8:00,-7.8,0,1.7
1/3/2021,9:00,-6.8,0,2
1/3/2021,10:00,-5.3,0,2.3
1/3/2021,11:00,-5,0,2
1/3/2021,12:00,-4.7,0,2.3
1/3/2021,13:00,-4.3,0,2.4
1/3/2021,14:00,-4.1,0,2.7
1/3/2021,15:00,-3.7,0,2.8
1/3/2021,16:00,-4.1,0,2.1
1/3/2021,17:00,-4.3,0,1.3
1/3/2021,18:00,-4.3,0,0.8
1/3/2021,19:00,-4.3,0,1.1
1/3/2021,20:00,-4.3,0,0.5
1/3/2021,21:00,-4.3,0,0.7
1/3/2021,22:00,-4.4,0,0.6
1/3/2021,23:00,-4.3,0,0
1/4/2021,0:00,-4.3,0,0
1/4/2021,1:00,-4.5,0,0
1/4/2021,2:00,-4.2,0,0
1/4/2021,3:00,-4.2,0,0
1/4/2021,4:00,-4.4,0,0
1/4/2021,5:00,-4.3,0,0
1/4/2021,6:00,-4.3,0,0
1/4/2021,7:00,-3.9,0,0
1/4/2021,8:00,-4,0,0
1/4/2021,9:00,-4.1,0,0
1/4/2021,10:00,-2.5,0,0
1/4/2021,11:00,-1.3,0,1.8
1/4/2021,12:00,-0.6,0.04,2.3
1/4/2021,13:00,-0.2,0.03,2.3
1/4/2021,14:00,0.1,0.02,2.1
1/4/2021,15:00,-0.6,0.01,1.8
1/4/2021,16:00,-1.2,0,0.7
1/4/2021,17:00,-1.7,0,0.9
1/4/2021,18:00,-2.1,0,1.3
1/4/2021,19:00,-2.4,0,1.6
1/4/2021,20:00,-2.7,0,1.2
1/4/2021,21:00,-3,0,1.4
1/4/2021,22:00,-3,0,0.9
1/4/2021,23:00,-2.8,0,1.2
1/5/2021,0:00,-2.9,0,1.2
1/5/2021,1:00,-3.1,0,1
1/5/2021,2:00,-3.4,0,1.6
1/5/2021,3:00,-3.4,0,1.1
1/5/2021,4:00,-3.5,0,1.5
1/5/2021,5:00,-3.4,0,0.6
1/5/2021,6:00,-3.3,0,0
1/5/2021,7:00,-3.4,0,2.1
1/5/2021,8:00,-3.4,0,0.5
1/5/2021,9:00,-3.3,0,1.2
1/5/2021,10:00,-3.1,0,1.5
1/5/2021,11:00,-2.8,0,1.6
1/5/2021,12:00,-2,0,2.1
1/5/2021,13:00,-1.6,0,1.8
1/5/2021,14:00,-1.3,0.01,1.6
1/5/2021,15:00,-1.5,0,1.9
1/5/2021,16:00,-1.4,0,1
1/5/2021,17:00,-1.6,0,1.1
1/5/2021,18:00,-2,0,3.5
1/5/2021,19:00,-2.3,0,3
1/5/2021,20:00,-2.3,0,2.9
1/5/2021,21:00,-2.3,0,1.4
1/5/2021,22:00,-2.7,0,0.9
1/5/2021,23:00,-2.6,0,3.2
1/6/2021,0:00,-2.3,0,5.2
1/6/2021,1:00,-2.3,0,6.4
1/6/2021,2:00,-2.3,0,6.1
1/6/2021,3:00,-2.4,0,7.8
1/6/2021,4:00,-3,0,8.8
1/6/2021,5:00,-3.1,0,9.7
1/6/2021,6:00,-3.3,0,6.8
1/6/2021,7:00,-3.6,0,5.6
1/6/2021,8:00,-3.9,0,7.5
1/6/2021,9:00,-4,0,7.6
1/6/2021,10:00,-3.6,0,7.1
1/6/2021,11:00,-3.3,0,8.9
1/6/2021,12:00,-3,0,8.4
1/6/2021,13:00,-2.3,0,6.9
1/6/2021,14:00,-2.7,0,8.1
1/6/2021,15:00,-3.4,0,6.9
1/6/2021,16:00,-4.2,0,6.8
1/6/2021,17:00,-4.5,0,7.8
1/6/2021,18:00,-4.5,0,5.7
1/6/2021,19:00,-4.9,0,7.1
1/6/2021,20:00,-5.1,0,11.6
1/6/2021,21:00,-5.1,0,10.2
1/6/2021,22:00,-5.2,0,8
1/6/2021,23:00,-5,0,6.2
1/7/2021,0:00,-4.9,0,9.6
1/7/2021,1:00,-4.8,0,11
1/7/2021,2:00,-5.1,0,6.7
1/7/2021,3:00,-5.3,0,6.7
1/7/2021,4:00,-5.1,0,9.5
1/7/2021,5:00,-5.4,0,8.1
1/7/2021,6:00,-5.1,0,11.7
1/7/2021,7:00,-5.4,0,8.9
1/7/2021,8:00,-6.1,0,12
1/7/2021,9:00,-6.3,0,10.5
1/7/2021,10:00,-5.7,0,8.8
1/7/2021,11:00,-4.4,0,8
1/7/2021,12:00,-3.3,0,8.9
1/7/2021,13:00,-2.6,0,6.8
1/7/2021,14:00,-3.1,0,9
1/7/2021,15:00,-4.3,0,8.4
1/7/2021,16:00,-5.4,0,7.9
1/7/2021,17:00,-6.2,0,7.2
1/7/2021,18:00,-6.5,0,10
1/7/2021,19:00,-6.7,0,12
1/7/2021,20:00,-6.8,0,7.5
1/7/2021,21:00,-6.9,0,10.6
1/7/2021,22:00,-6.8,0,11.2
1/7/2021,23:00,-6.6,0,8.1
1/8/2021,0:00,-6.5,0,9.7
1/8/2021,1:00,-6.5,0,10.5
1/8/2021,2:00,-6.7,0,8
1/8/2021,3:00,-6.6,0,8.9
1/8/2021,4:00,-7.4,0,6.8
1/8/2021,5:00,-7.5,0,10.5
1/8/2021,6:00,-7.6,0,7.5
1/8/2021,7:00,-8.3,0,8.7
1/8/2021,8:00,-8.4,0,5.4
1/8/2021,9:00,-7,0,6.4
1/8/2021,10:00,-5.8,0,6.3
1/8/2021,11:00,-5.3,0,6.4
1/8/2021,12:00,-3.3,0,6.2
1/8/2021,13:00,-3.2,0,8.4
1/8/2021,14:00,-3.3,0,6.6
1/8/2021,15:00,-3.8,0,5.6
1/8/2021,16:00,-4.5,0,8.3
1/8/2021,17:00,-5.4,0,8.1
1/8/2021,18:00,-6.2,0,10.7
1/8/2021,19:00,-6.7,0,14.4
1/8/2021,20:00,-7.2,0,10.1
1/8/2021,21:00,-7.5,0,9.2
1/8/2021,22:00,-7.4,0,6.2
1/8/2021,23:00,-7.5,0,8.6
